Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
5.611731052,4.771514893,2.83449173,5.058871746,6.025260448,4.430028915,3.409840584,4.598853588
4.147235394,4.514823914,4.011229992,4.707229137,4.492235661,3.972640514,4.639408588,4.104409218
3.214396,5.267463207,5.426698685,4.36367321,3.491994619,4.429404259,5.882732868,4.089251041
4.850456715,4.917408943,3.736762762,4.575134754,5.089696884,4.552485466,4.821116447,4.062660217
5.117127419,5.557843208,3.963826895,4.292663574,5.376172066,5.289289951,4.542936802,3.716496229
3.871038198,5.356472969,4.097691059,5.392178535,5.124527931,3.857350826,5.384772301,4.185079098
3.863011837,5.289973736,4.051671982,5.37590456,5.189893723,3.881232738,5.361914158,4.170741081
3.226726532,5.323608398,5.366952419,4.315649033,3.385872602,4.559175968,5.858757496,4.053801537
3.842303991,5.189165592,3.985494137,5.425429344,4.950067997,3.805042267,5.398683548,4.103572845
3.027837276,5.232933998,5.517896652,4.521421909,3.355303049,4.394629955,6.029675961,4.204602242
4.3543787,4.520572186,4.580518723,4.477530956,4.718169689,4.011750221,4.67514658,4.596066475
4.385820389,6.09487009,4.53741169,3.447975636,4.564329624,5.385551929,5.329678535,3.097043991
3.866642952,5.366181374,4.178859711,5.370091438,5.133412838,3.900083542,5.386147976,4.102192879
4.242691994,4.371423721,4.219672203,4.683695793,5.024490833,3.998021364,4.649737835,4.303713322
6.062211514,5.077418804,2.348012686,5.377458572,6.444275856,4.613385201,3.378226042,4.583610535
4.465685368,4.918021202,3.961549759,4.149535179,4.571870804,4.258203506,4.511859894,4.276780605
4.933841705,3.613970757,4.014218807,5.872040272,5.350354671,2.705647469,4.345906734,5.778761864
5.735147476,4.860095501,3.258493662,5.053295612,6.13822031,4.549686909,3.592648506,4.668937206
4.056849957,4.007208824,4.68687439,5.292977333,4.380071163,3.409743547,5.059864521,4.938790321
5.780856133,5.114254951,2.620657921,5.178590775,6.093349934,4.634673595,3.120841265,4.468613148
4.847548008,3.55153203,4.038853645,5.841669083,5.332565308,2.709755898,4.346939087,5.797870636
6.075754166,5.090287209,2.41238451,5.400398731,6.442466259,4.490923405,3.400527,4.597423077
4.99758625,5.925424099,3.68580842,4.282588959,5.42249155,4.955578804,4.288495064,3.595278263
4.220366001,5.035408974,3.858520746,4.707479,4.965773106,4.030775547,4.631714821,4.138372421
4.258477211,4.626146793,4.084942341,4.638277054,4.668131828,4.111356735,4.624809742,4.132925987
5.08492136,5.539689064,3.725156546,4.254720688,5.438797474,4.991318703,4.002222538,3.639299393
5.025495529,3.138738394,3.994339466,5.813135624,5.37121582,2.714078188,4.31293726,5.820644855
4.524857044,6.379019737,4.677046299,3.20835948,4.651328564,5.766571999,4.949180603,2.73997426
4.772071838,3.598160505,4.055119514,5.800061703,5.283893585,2.797549725,4.420906067,5.702735424
5.111899853,6.097047806,3.594514132,4.26438427,5.426487923,4.923142433,4.181247711,3.636079073
4.256668568,4.568488121,4.000653267,4.652531147,4.54509306,4.189119816,4.619609833,4.180734634
4.613746643,6.268228054,4.576746941,3.286775827,4.705876827,5.672869205,5.09184742,2.863926411
4.290056705,4.57270813,4.355818748,4.629218578,4.665258408,4.099795818,4.713532448,4.399525166
4.501066685,6.248796463,4.735475063,3.330925941,4.638333321,5.619140148,7.555370808,2.966195583
