Est_X,Est_Y,Est_Z,Target_X,Target_Y,Target_Z,Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
3.679880619,3.300581932,1.322173834,3.699989557,3.338757038,1.5,4.999714375,5.880679131,3.619423866,4.325512886,5.383839607,4.851371765,4.254230976,3.659802675
3.767449379,3.299886703,1.360375762,3.699989319,3.360002518,1.5,5.102087498,6.027933598,3.581954956,4.198370457,5.464474678,4.975425243,4.181810856,3.572738409
2.346481085,3.295947075,1.538547039,2.374595642,3.370693445,1.499993563,4.124691963,4.553994656,4.302426815,4.532255173,4.526172161,4.078137875,4.91744566,4.317455292
1.670184731,4.464941025,1.451063395,1.699999809,4.35997963,1.5,4.888243675,3.540698528,4.051521301,6.283065796,5.332356453,2.679148436,4.323047638,5.842321396
2.392394066,3.319918156,0.414809555,2.360458612,3.370815754,0.980344474,3.91787672,5.454624176,4.057160854,5.144804001,5.036130428,3.938617706,5.311534882,4.010997772
3.566911936,2.413425922,1.483765602,3.193819284,2.359996796,1.5,4.601921558,6.144639969,4.625725269,3.345621347,4.774435997,5.528847694,5.162203312,2.998222589
3.650218964,3.853904486,1.495908618,3.699995041,3.660220623,1.5,5.420236111,5.186671257,3.250077248,4.922316551,5.870620251,4.719886303,3.648302078,4.260894299
2.524659157,3.353804827,1.494294047,2.500005722,3.360002518,1.494205356,4.259248734,4.589079857,4.144330502,4.687992096,4.644728184,4.158989429,5.043040752,4.18969202
2.536965609,3.382222414,1.465783834,2.500005722,3.360002518,1.5,4.263008595,4.553137302,4.119133949,4.662788391,4.708948612,4.116384506,4.623235226,4.158606529
3.721185684,2.307760715,1.489803791,3.690341234,2.359995842,1.5,4.527833939,6.412631512,4.670836449,3.245979786,4.611481667,5.708999157,5.249013424,2.720132113
1.662434578,2.336057901,1.49798739,1.699995518,2.360002518,1.5,3.038220882,5.285586834,5.579082966,4.445827961,3.37929225,4.434764862,6.025029182,4.211871624
3.824041605,4.350793839,1.353774905,3.699988842,4.359989166,1.5,5.944834709,5.111656666,2.481789112,5.267767429,6.355687618,4.626811504,3.517153025,4.514446259
2.545122385,3.375713587,1.439080119,2.500005722,3.360002518,1.5,4.257134438,4.583086967,4.05706358,4.637221813,4.686209679,4.091552258,4.580533504,4.123265743
3.654687643,3.331610918,1.426568627,3.699989319,3.360002518,1.5,5.074759483,5.466199398,3.761065006,4.323878765,5.318466187,5.053277016,4.067622185,3.61415863
2.51239562,3.326601982,1.469732881,2.500005722,3.360002518,1.5,4.252297401,4.644862652,4.202625751,4.574965954,4.492590904,4.15477562,4.667333126,4.141131401
2.395126104,3.40495944,1.488257289,2.360621452,3.370806217,1.499993443,4.226574898,4.405767918,4.188222885,4.637767792,4.64592886,4.053075314,4.660791397,4.313678741
2.687053919,4.402963638,1.455690026,3.131150007,4.359993458,1.5,5.091629505,3.795796394,3.456733465,5.721831799,5.651669025,3.440423727,3.76413393,5.017061234
2.366557121,3.439010143,1.688308954,2.360443115,3.370807648,1.499993443,4.406751633,4.515229702,4.31373024,4.846955776,4.782213211,3.917186737,4.530691147,4.651304722
2.501272202,3.306872845,1.660758138,2.500006199,3.360002279,1.5,4.402579308,4.648023129,4.552129745,4.289798737,4.675110817,4.141217232,4.681222916,4.355517387
3.677860737,2.283566236,1.465287447,3.699979782,2.359995842,1.5,4.526619911,6.327131271,4.624017239,3.26264143,4.670024395,5.644870758,5.544679165,2.781825066
2.460861206,3.384214401,1.647945881,2.500005722,3.360002518,1.5,4.45208931,4.464776039,4.427702904,4.378809452,4.598667145,4.118197918,4.634149075,4.456243038
1.67346406,2.354622602,1.497361064,1.699995518,2.360002518,1.5,3.038985729,5.204824448,5.507365704,4.458684921,3.354926825,4.414087772,6.007361889,4.195218086
